STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
PUDUCHERRY,Immoral traffic act,89,83,67,9,18,42,24,19,32,37,17,21
TOTAL (UTs),Immoral traffic act,261,303,294,539,550,430,298,268,152,211,206,177
TOTAL (ALL-INDIA),Immoral traffic act,12823,12056,11101,11428,12665,11783,9861,8250,7802,6775,7581,8052
ANDHRA PRADESH,Embezzlement,1042,700,405,476,452,705,1201,1433,1508,1615,1925,2780
ARUNACHAL PRADESH,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Embezzlement,197,98,135,46,122,49,75,14,33,105,15,63
BIHAR,Embezzlement,2501,2630,1831,1966,1898,1674,2295,2709,2243,2473,3268,2778
CHHATTISGARH,Embezzlement,17,44,33,28,16,31,38,23,31,13,42,40
GOA,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,Embezzlement,0,0,0,0,0,2,0,0,5,12,86,0
HARYANA,Embezzlement,0,2,3,7,10,23,21,19,17,19,8,8
